GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ExamThourayaS2,tn.esprit.spring.controller,RestControllerVoyageur,60,0,0,0,16,0,9,0,9,0
ExamThourayaS2,tn.esprit.spring,ExamThourayaS2Application,8,0,0,0,3,0,2,0,2,0
ExamThourayaS2,tn.esprit.spring.services,TrainServiceImpl,417,0,28,0,57,0,21,0,7,0
ExamThourayaS2,tn.esprit.spring.services,VoyageServiceImpl,57,0,0,0,15,0,7,0,7,0
ExamThourayaS2,tn.esprit.spring.services,VoyageurServiceImpl,54,0,2,0,14,0,7,0,6,0
ExamThourayaS2,tn.esprit.spring.config,PerformanceAspect,30,0,0,0,7,0,3,0,3,0
ExamThourayaS2,tn.esprit.spring.config,LoggingAspect,39,0,0,0,8,0,4,0,4,0
ExamThourayaS2,tn.esprit.spring.entities,etatTrain,44,0,0,0,2,0,1,0,1,0
ExamThourayaS2,tn.esprit.spring.entities,Ville,64,0,0,0,2,0,1,0,1,0
ExamThourayaS2,tn.esprit.spring.entities,Voyageur,24,0,0,0,11,0,7,0,7,0
ExamThourayaS2,tn.esprit.spring.entities,Voyage,73,0,0,0,32,0,21,0,21,0
ExamThourayaS2,tn.esprit.spring.entities,Train,43,0,0,0,19,0,10,0,10,0
